Job Title,Company,City,Experience Level,Industry,Skills Required,Remote,Job Postings Count,Salary (LPA)
Operations Analyst,HCL Technologies,Pune,Junior (1-3 yrs),Logistics,"Machine Learning, Python, Communication, Google Analytics, Power BI",Yes,46,8.3
Senior Data Analyst,ICICI Bank,Mumbai,Senior (5+ yrs),Healthcare,"Python, Spark, Machine Learning, Data Visualization, Hadoop, R, SQL",No,6,30.7
Marketing Analyst,Paytm,Noida,Mid (3-5 yrs),Banking & Finance,"Hadoop, Communication, Pandas, JIRA",Yes,23,9.1
Senior Data Analyst,TCS,Mumbai,Mid (3-5 yrs),Banking & Finance,"Hadoop, Communication, ETL, Pandas, Spark, Azure, Power BI",No,36,11.8
Operations Analyst,MakeMyTrip,Noida,Senior (5+ yrs),Healthcare,"JIRA, Storytelling, Azure, R, ETL, Pandas",No,16,28.6
Data Scientist,Tech Mahindra,Ahmedabad,Junior (1-3 yrs),Healthcare,"Azure, Pandas, NumPy, ETL, Spark, Google Analytics, Excel",Hybrid,43,9.2
Product Analyst,Zomato,Hyderabad,Mid (3-5 yrs),Healthcare,"Statistics, AWS, R",No,42,16.6
BI Analyst,Ola,Kolkata,Senior (5+ yrs),Logistics,"Machine Learning, Google Analytics, Spark",Yes,48,24.4
Product Analyst,Tech Mahindra,Pune,Mid (3-5 yrs),IT Services,"JIRA, SQL, R, Spark, Python",Yes,14,9.2
Business Analyst,Wipro,Delhi,Senior (5+ yrs),EdTech,"Tableau, Azure, Hadoop",Hybrid,45,16.2
Senior Data Analyst,HDFC Bank,Mumbai,Mid (3-5 yrs),Logistics,"Excel, Pandas, Statistics",No,5,9.3
Data Analyst,Capgemini,Mumbai,Fresher (0-1 yr),EdTech,"Excel, SQL, Spark, JIRA, NumPy",Hybrid,5,4.3
Business Analyst,Amazon India,Delhi,Junior (1-3 yrs),Retail,"SQL, R, Azure, AWS, Python, Power BI, Hadoop",No,32,8.2
Data Scientist,Byju's,Pune,Junior (1-3 yrs),E-Commerce,"NumPy, Machine Learning, SQL, Google Analytics, Statistics, Storytelling, Excel",Yes,4,7.8
Senior Data Analyst,PhonePe,Pune,Fresher (0-1 yr),Banking & Finance,"ETL, Statistics, Python",Yes,14,4.4
Business Analyst,Swiggy,Gurgaon,Senior (5+ yrs),Logistics,"Excel, Pandas, Spark, ETL",No,1,27.0
Senior Data Analyst,Ola,Ahmedabad,Junior (1-3 yrs),Logistics,"Spark, Communication, Machine Learning, Google Analytics, Python, ETL",Yes,43,5.4
Marketing Analyst,Wipro,Noida,Senior (5+ yrs),E-Commerce,"Excel, JIRA, NumPy",Yes,14,33.0
Data Scientist,Amazon India,Hyderabad,Mid (3-5 yrs),Logistics,"Communication, ETL, Storytelling, Pandas, Statistics, NumPy, Power BI",No,30,14.0
Financial Analyst,Razorpay,Gurgaon,Fresher (0-1 yr),EdTech,"Spark, Communication, Python, Pandas, R, Machine Learning",No,25,6.3
BI Analyst,Axis Bank,Delhi,Senior (5+ yrs),Logistics,"Power BI, JIRA, Excel, Google Analytics, NumPy, R, SQL",No,13,24.4
Junior Data Analyst,Swiggy,Gurgaon,Senior (5+ yrs),Retail,"Pandas, JIRA, Storytelling, AWS, Spark, NumPy, Statistics",No,32,20.9
BI Analyst,Amazon India,Bangalore,Junior (1-3 yrs),Healthcare,"Data Visualization, AWS, Communication, Python",No,7,8.9
BI Analyst,Ola,Delhi,Mid (3-5 yrs),Logistics,"Power BI, Pandas, Excel, Spark, Statistics, Data Visualization",No,22,11.3
Business Analyst,PhonePe,Ahmedabad,Junior (1-3 yrs),Banking & Finance,"Data Visualization, Hadoop, ETL, Google Analytics",Hybrid,14,7.5
Data Scientist,Nykaa,Noida,Mid (3-5 yrs),EdTech,"Python, Pandas, Statistics, NumPy, Excel, Machine Learning, Data Visualization",No,38,11.0
Senior Data Analyst,HDFC Bank,Pune,Junior (1-3 yrs),Banking & Finance,"Excel, JIRA, R, Azure, Data Visualization",Hybrid,49,5.9
Product Analyst,Axis Bank,Bangalore,Senior (5+ yrs),Retail,"Machine Learning, Communication, Pandas, R, Storytelling",Hybrid,34,32.6
Junior Data Analyst,Infosys,Mumbai,Senior (5+ yrs),E-Commerce,"Machine Learning, Statistics, Communication, Pandas, Storytelling, Power BI",No,33,28.5
Operations Analyst,Byju's,Noida,Fresher (0-1 yr),Retail,"Statistics, ETL, Tableau, Power BI",Yes,21,3.8
Business Analyst,Wipro,Delhi,Senior (5+ yrs),Logistics,"Excel, Azure, Python",Hybrid,49,28.4
Junior Data Analyst,IBM India,Kolkata,Senior (5+ yrs),EdTech,"SQL, Azure, ETL, Data Visualization, Communication, AWS, NumPy",Yes,20,19.5
Financial Analyst,Ola,Hyderabad,Senior (5+ yrs),E-Commerce,"Azure, R, Google Analytics, Pandas, Spark",No,46,25.6
Marketing Analyst,Razorpay,Bangalore,Senior (5+ yrs),Banking & Finance,"Communication, Tableau, SQL, Google Analytics",No,30,24.4
Data Scientist,Deloitte,Hyderabad,Fresher (0-1 yr),IT Services,"Azure, JIRA, SQL, Google Analytics, ETL, Machine Learning",Hybrid,42,4.1
Operations Analyst,IBM India,Ahmedabad,Mid (3-5 yrs),Healthcare,"AWS, Power BI, Google Analytics, Storytelling",No,10,14.0
Business Analyst,MakeMyTrip,Gurgaon,Fresher (0-1 yr),E-Commerce,"Python, Storytelling, Machine Learning, Spark, Power BI",Hybrid,33,3.8
BI Analyst,Wipro,Bangalore,Fresher (0-1 yr),Logistics,"ETL, Pandas, R, Communication, Statistics",Hybrid,7,6.3
Data Analyst,Zomato,Hyderabad,Junior (1-3 yrs),Banking & Finance,"Azure, Data Visualization, ETL, R, Storytelling",No,9,10.0
Business Analyst,HCL Technologies,Mumbai,Mid (3-5 yrs),Logistics,"Machine Learning, Hadoop, ETL, JIRA, Spark, Tableau",Hybrid,15,17.8
Data Analyst,Nykaa,Chennai,Junior (1-3 yrs),Retail,"R, Communication, Tableau, Statistics, Power BI, ETL",Hybrid,24,5.1
BI Analyst,Ola,Delhi,Fresher (0-1 yr),EdTech,"Statistics, JIRA, Hadoop, Spark, Machine Learning",Yes,25,6.0
Marketing Analyst,PhonePe,Delhi,Senior (5+ yrs),Retail,"Tableau, Azure, Python, R",No,29,32.1
Data Scientist,HCL Technologies,Noida,Mid (3-5 yrs),E-Commerce,"Azure, Tableau, Google Analytics, Data Visualization, Storytelling, Communication",Yes,40,13.9
Senior Data Analyst,Paytm,Ahmedabad,Senior (5+ yrs),Logistics,"JIRA, Communication, SQL, Spark, Power BI",Hybrid,33,16.8
Business Analyst,Accenture,Bangalore,Fresher (0-1 yr),Banking & Finance,"SQL, Machine Learning, Pandas, Azure",Hybrid,13,3.8
Product Analyst,PhonePe,Ahmedabad,Fresher (0-1 yr),Logistics,"AWS, Data Visualization, Pandas",No,50,3.4
BI Analyst,Deloitte,Hyderabad,Fresher (0-1 yr),IT Services,"ETL, JIRA, Communication, Pandas, Storytelling",Hybrid,26,4.8
Business Analyst,TCS,Gurgaon,Mid (3-5 yrs),E-Commerce,"Hadoop, Power BI, ETL",Hybrid,13,10.0
Financial Analyst,Infosys,Delhi,Junior (1-3 yrs),Banking & Finance,"Machine Learning, Communication, JIRA, R, NumPy, Google Analytics, AWS",Hybrid,5,5.4
Marketing Analyst,Amazon India,Delhi,Junior (1-3 yrs),E-Commerce,"Azure, AWS, Excel, Spark, NumPy, Statistics, Data Visualization",Hybrid,18,6.0
Financial Analyst,Infosys,Gurgaon,Senior (5+ yrs),Logistics,"R, Data Visualization, Hadoop, Spark",Yes,28,26.8
Junior Data Analyst,Deloitte,Mumbai,Mid (3-5 yrs),Retail,"Excel, R, Data Visualization",Hybrid,11,16.5
Data Scientist,Flipkart,Ahmedabad,Senior (5+ yrs),Banking & Finance,"Data Visualization, Storytelling, NumPy, Pandas",Yes,44,28.9
Junior Data Analyst,Flipkart,Hyderabad,Senior (5+ yrs),Healthcare,"Spark, Pandas, AWS, ETL, JIRA, Machine Learning, Excel",Yes,20,17.4
Business Analyst,Zomato,Kolkata,Junior (1-3 yrs),Retail,"Python, Tableau, Statistics, Pandas",No,37,7.1
Operations Analyst,Tech Mahindra,Delhi,Mid (3-5 yrs),Banking & Finance,"Machine Learning, R, Spark",Yes,42,11.5
Operations Analyst,IBM India,Noida,Fresher (0-1 yr),Banking & Finance,"Power BI, Excel, Azure",Yes,7,3.1
Data Scientist,ICICI Bank,Delhi,Senior (5+ yrs),Banking & Finance,"SQL, Python, Spark, Google Analytics, Excel, Storytelling, Tableau",Yes,10,27.5
Product Analyst,Zomato,Pune,Fresher (0-1 yr),EdTech,"Tableau, Excel, Spark, NumPy, Statistics, Power BI, ETL",No,30,4.3
Marketing Analyst,Reliance Jio,Chennai,Mid (3-5 yrs),Banking & Finance,"AWS, Tableau, Communication, Google Analytics, R",Hybrid,7,17.8
Product Analyst,Razorpay,Mumbai,Senior (5+ yrs),Healthcare,"SQL, ETL, Data Visualization",No,48,33.1
Marketing Analyst,Accenture,Bangalore,Fresher (0-1 yr),Retail,"AWS, JIRA, Pandas, Storytelling, Tableau, ETL",Yes,8,4.3
BI Analyst,Accenture,Hyderabad,Fresher (0-1 yr),IT Services,"R, Communication, AWS, Hadoop, NumPy, JIRA, Storytelling",Yes,16,6.3
Business Analyst,Accenture,Gurgaon,Junior (1-3 yrs),Healthcare,"JIRA, Statistics, Excel, AWS, NumPy, R",Yes,2,6.5
Junior Data Analyst,Wipro,Kolkata,Mid (3-5 yrs),IT Services,"Pandas, Tableau, NumPy, Python, Google Analytics, Storytelling",No,30,9.3
Operations Analyst,Byju's,Noida,Mid (3-5 yrs),Retail,"ETL, NumPy, Azure, Python",No,12,12.3
Financial Analyst,Swiggy,Kolkata,Mid (3-5 yrs),Logistics,"Azure, NumPy, Python, Hadoop, Communication, Storytelling",Yes,18,11.6
Senior Data Analyst,Byju's,Mumbai,Senior (5+ yrs),EdTech,"Python, JIRA, ETL, Machine Learning",No,2,18.9
Data Analyst,Razorpay,Pune,Junior (1-3 yrs),EdTech,"JIRA, Hadoop, Spark, Statistics, R, ETL",No,31,8.0
Senior Data Analyst,IBM India,Pune,Senior (5+ yrs),EdTech,"Spark, Statistics, Pandas, Excel, Hadoop, Data Visualization",Yes,43,18.0
Junior Data Analyst,HDFC Bank,Gurgaon,Mid (3-5 yrs),IT Services,"Google Analytics, Pandas, NumPy, Communication",Hybrid,34,10.9
Junior Data Analyst,Reliance Jio,Chennai,Senior (5+ yrs),Healthcare,"Machine Learning, Excel, R, Tableau, NumPy, SQL",No,29,21.9
Marketing Analyst,Tech Mahindra,Ahmedabad,Fresher (0-1 yr),E-Commerce,"Storytelling, AWS, Pandas, Azure, Machine Learning, R",Yes,23,5.5
Product Analyst,IBM India,Pune,Senior (5+ yrs),EdTech,"Tableau, SQL, JIRA",Yes,17,30.1
Senior Data Analyst,Paytm,Gurgaon,Senior (5+ yrs),IT Services,"R, Power BI, NumPy",Yes,8,30.9
Marketing Analyst,Ola,Chennai,Mid (3-5 yrs),Retail,"Tableau, AWS, Python, Statistics, Excel",Yes,36,15.4
Marketing Analyst,Capgemini,Mumbai,Fresher (0-1 yr),Logistics,"Python, Azure, Machine Learning, Data Visualization",Hybrid,6,6.3
Product Analyst,Paytm,Hyderabad,Mid (3-5 yrs),Healthcare,"NumPy, Azure, ETL, AWS, SQL, R",Yes,23,12.4
Financial Analyst,Capgemini,Mumbai,Fresher (0-1 yr),EdTech,"Tableau, SQL, Pandas",Yes,28,5.0
Operations Analyst,Razorpay,Gurgaon,Fresher (0-1 yr),Banking & Finance,"Excel, JIRA, Azure, R, Machine Learning, AWS",Hybrid,14,5.3
Data Scientist,TCS,Hyderabad,Fresher (0-1 yr),Healthcare,"Spark, Python, Power BI, Statistics, Storytelling",Hybrid,10,3.5
Operations Analyst,Paytm,Gurgaon,Mid (3-5 yrs),IT Services,"Statistics, SQL, Machine Learning, AWS, Power BI, Pandas",Yes,26,15.9
Data Analyst,Deloitte,Mumbai,Fresher (0-1 yr),Retail,"Azure, Spark, NumPy, Data Visualization",No,33,5.3
Senior Data Analyst,Razorpay,Delhi,Junior (1-3 yrs),Retail,"SQL, JIRA, Google Analytics, Power BI",Hybrid,28,9.8
Operations Analyst,Axis Bank,Delhi,Junior (1-3 yrs),E-Commerce,"Azure, NumPy, Machine Learning, ETL, SQL",Yes,33,9.8
Data Scientist,Accenture,Mumbai,Junior (1-3 yrs),E-Commerce,"Power BI, Statistics, Hadoop, Data Visualization",Hybrid,22,10.0
BI Analyst,Wipro,Kolkata,Junior (1-3 yrs),E-Commerce,"R, Pandas, Power BI",No,4,7.8
Senior Data Analyst,Paytm,Kolkata,Mid (3-5 yrs),Banking & Finance,"Statistics, Python, SQL, Azure, Tableau, R",No,29,18.0
Data Scientist,Flipkart,Pune,Senior (5+ yrs),Healthcare,"Statistics, R, Azure",Yes,18,28.0
Marketing Analyst,Reliance Jio,Pune,Senior (5+ yrs),EdTech,"Storytelling, Data Visualization, SQL",Hybrid,24,29.9
Junior Data Analyst,Deloitte,Hyderabad,Junior (1-3 yrs),Healthcare,"ETL, Tableau, JIRA",Yes,7,7.7
Financial Analyst,Ola,Hyderabad,Senior (5+ yrs),E-Commerce,"Tableau, Azure, Statistics",Hybrid,4,18.3
Data Analyst,Zomato,Delhi,Junior (1-3 yrs),Banking & Finance,"JIRA, ETL, AWS, Machine Learning, Python",Hybrid,42,9.4
Data Scientist,PhonePe,Kolkata,Junior (1-3 yrs),Retail,"ETL, Tableau, Pandas, SQL, Azure, Storytelling",Yes,25,9.0
Operations Analyst,Capgemini,Chennai,Senior (5+ yrs),Logistics,"JIRA, NumPy, Storytelling, Azure, Machine Learning, Communication",No,47,27.5
Junior Data Analyst,Paytm,Mumbai,Senior (5+ yrs),E-Commerce,"JIRA, ETL, Data Visualization, AWS",Hybrid,28,28.5
Operations Analyst,Deloitte,Chennai,Fresher (0-1 yr),Retail,"Storytelling, JIRA, R, Excel, Tableau",Yes,13,4.8
Senior Data Analyst,Cognizant,Hyderabad,Junior (1-3 yrs),IT Services,"NumPy, Pandas, JIRA, ETL, AWS, Python",Yes,19,6.6
Data Scientist,Swiggy,Chennai,Senior (5+ yrs),Healthcare,"Spark, R, Python, ETL, Statistics, Communication, Google Analytics",Yes,13,19.7
Operations Analyst,HDFC Bank,Gurgaon,Senior (5+ yrs),Banking & Finance,"JIRA, Spark, Machine Learning",No,26,26.9
Product Analyst,HCL Technologies,Bangalore,Senior (5+ yrs),Logistics,"Azure, JIRA, Tableau, NumPy, Data Visualization, Machine Learning, Storytelling",Yes,12,33.3
Business Analyst,IBM India,Delhi,Fresher (0-1 yr),E-Commerce,"Power BI, Storytelling, Google Analytics, Excel, SQL",Yes,39,4.2
Junior Data Analyst,Swiggy,Kolkata,Junior (1-3 yrs),Banking & Finance,"R, SQL, Machine Learning, Power BI",Yes,18,9.0
BI Analyst,Reliance Jio,Ahmedabad,Junior (1-3 yrs),Logistics,"Machine Learning, Power BI, SQL, Spark, Azure, Pandas",Yes,34,9.9
Junior Data Analyst,Flipkart,Delhi,Mid (3-5 yrs),IT Services,"Communication, Pandas, SQL, ETL, Statistics, NumPy, Google Analytics",Yes,39,11.1
Operations Analyst,Reliance Jio,Gurgaon,Fresher (0-1 yr),IT Services,"Python, Machine Learning, Azure",Hybrid,32,4.1
Operations Analyst,Deloitte,Kolkata,Fresher (0-1 yr),Healthcare,"AWS, SQL, ETL",No,34,6.4
Data Analyst,PhonePe,Hyderabad,Junior (1-3 yrs),Banking & Finance,"Hadoop, ETL, SQL, Pandas, JIRA, Communication, Azure",Yes,28,8.5
Product Analyst,Deloitte,Ahmedabad,Mid (3-5 yrs),E-Commerce,"Excel, Machine Learning, Google Analytics, Power BI, JIRA",Yes,7,13.0
BI Analyst,TCS,Mumbai,Mid (3-5 yrs),Retail,"JIRA, Spark, Machine Learning, Storytelling",No,44,17.6
Financial Analyst,Razorpay,Mumbai,Junior (1-3 yrs),Retail,"Statistics, Communication, R, Hadoop, Power BI, Spark, Data Visualization",Hybrid,4,7.0
Data Analyst,Swiggy,Pune,Senior (5+ yrs),E-Commerce,"ETL, AWS, Hadoop, Power BI, R, Spark, Excel",Yes,42,17.5
Senior Data Analyst,Capgemini,Noida,Fresher (0-1 yr),EdTech,"Spark, Google Analytics, Data Visualization, R, AWS, Azure, Communication",Hybrid,16,5.0
BI Analyst,TCS,Gurgaon,Mid (3-5 yrs),Retail,"JIRA, Data Visualization, ETL, Hadoop, Google Analytics",Hybrid,8,9.7
Data Scientist,Reliance Jio,Kolkata,Senior (5+ yrs),E-Commerce,"Storytelling, Statistics, JIRA, Machine Learning, Spark",Hybrid,15,22.9
Business Analyst,Razorpay,Noida,Mid (3-5 yrs),Healthcare,"Pandas, ETL, AWS, JIRA, Spark, Python, Communication",No,8,13.4
Data Analyst,Nykaa,Noida,Senior (5+ yrs),Retail,"NumPy, Python, Google Analytics",No,4,20.4
Business Analyst,MakeMyTrip,Ahmedabad,Senior (5+ yrs),Retail,"NumPy, Python, Storytelling, Statistics",No,3,30.9
Product Analyst,Infosys,Mumbai,Fresher (0-1 yr),Retail,"Data Visualization, Python, Pandas, Google Analytics",Hybrid,37,3.8
Senior Data Analyst,Byju's,Hyderabad,Mid (3-5 yrs),IT Services,"Communication, Storytelling, Tableau, Power BI, SQL, Statistics, R",No,18,16.5
Senior Data Analyst,MakeMyTrip,Delhi,Mid (3-5 yrs),E-Commerce,"Tableau, Pandas, ETL, Statistics",No,16,17.9
Financial Analyst,HDFC Bank,Mumbai,Senior (5+ yrs),EdTech,"Pandas, NumPy, Excel, Spark",Hybrid,5,33.6
Senior Data Analyst,Deloitte,Gurgaon,Junior (1-3 yrs),Healthcare,"Machine Learning, Excel, Data Visualization, Azure, R, Statistics, Hadoop",Hybrid,35,6.2
Operations Analyst,Nykaa,Gurgaon,Mid (3-5 yrs),Logistics,"Power BI, NumPy, SQL, Spark, Excel, Google Analytics, Python",Yes,7,17.2
Junior Data Analyst,IBM India,Kolkata,Fresher (0-1 yr),Healthcare,"ETL, Hadoop, Communication, Power BI, Statistics",No,18,5.4
Junior Data Analyst,Byju's,Delhi,Junior (1-3 yrs),Healthcare,"Python, Spark, SQL, NumPy, JIRA, R, Pandas",Yes,15,8.3
Financial Analyst,Flipkart,Hyderabad,Mid (3-5 yrs),Healthcare,"Tableau, Data Visualization, Google Analytics, Statistics, Storytelling, Python, Communication",Yes,40,14.4
Operations Analyst,IBM India,Kolkata,Fresher (0-1 yr),Healthcare,"AWS, Communication, Google Analytics, Excel, Statistics, Machine Learning",Yes,45,5.8
Junior Data Analyst,Ola,Ahmedabad,Junior (1-3 yrs),Healthcare,"Spark, Tableau, Communication, Data Visualization, Excel",Hybrid,46,6.7
Data Scientist,Cognizant,Hyderabad,Mid (3-5 yrs),IT Services,"Communication, SQL, JIRA, Spark, Pandas, Storytelling",Yes,26,10.1
Operations Analyst,Byju's,Hyderabad,Fresher (0-1 yr),IT Services,"Google Analytics, Hadoop, Tableau, JIRA, Azure, Pandas",Hybrid,26,4.4
Product Analyst,Capgemini,Noida,Junior (1-3 yrs),EdTech,"Azure, Spark, Machine Learning, Google Analytics",Yes,26,7.5
Marketing Analyst,Razorpay,Kolkata,Mid (3-5 yrs),E-Commerce,"Statistics, Excel, Pandas, Hadoop",Hybrid,7,10.3
Business Analyst,Nykaa,Bangalore,Junior (1-3 yrs),Logistics,"Communication, Excel, Power BI, Hadoop, Google Analytics",Yes,15,7.5
Operations Analyst,MakeMyTrip,Mumbai,Senior (5+ yrs),Banking & Finance,"ETL, Machine Learning, Data Visualization, Storytelling, Python",Yes,47,32.7
Business Analyst,Nykaa,Kolkata,Senior (5+ yrs),IT Services,"R, ETL, AWS, Tableau, JIRA",No,45,19.8
Data Scientist,Razorpay,Hyderabad,Junior (1-3 yrs),Banking & Finance,"Statistics, Machine Learning, ETL",No,18,5.9
Marketing Analyst,Razorpay,Pune,Senior (5+ yrs),Retail,"Excel, Power BI, SQL, Statistics",Hybrid,32,24.6
BI Analyst,Tech Mahindra,Hyderabad,Senior (5+ yrs),Retail,"Tableau, NumPy, Python, Data Visualization, Power BI, Storytelling, Statistics",No,14,19.2
Financial Analyst,Ola,Hyderabad,Junior (1-3 yrs),EdTech,"Python, Data Visualization, Machine Learning, JIRA, Google Analytics, Pandas",Hybrid,11,7.1
Operations Analyst,HCL Technologies,Delhi,Senior (5+ yrs),E-Commerce,"Pandas, JIRA, Azure, Tableau, Python, Machine Learning, NumPy",Hybrid,14,30.5
Financial Analyst,Ola,Chennai,Junior (1-3 yrs),IT Services,"SQL, Pandas, R, Storytelling, NumPy, Power BI, Spark",No,23,8.6
Senior Data Analyst,Ola,Delhi,Junior (1-3 yrs),Logistics,"Pandas, SQL, AWS, Python, Excel, Machine Learning, Data Visualization",Hybrid,41,7.3
Business Analyst,Infosys,Kolkata,Senior (5+ yrs),IT Services,"ETL, Power BI, Python, NumPy, Spark",Hybrid,19,17.9
